barcode,sample
NB01,8
NB02,16
NB03,18
NB04,20
NB05,27
NB06,30
NB07,36
NB08,38
NB09,39
NB10,40
NB11,42
NB12,43
NB13,45
NB14,47
NB15,48
NB16,49
NB17,50
NB18,51
NB19,53
NB20,54
NB21,56
NB22,H20_1
NB23,H20_2
NB24,H20_3
